Fold,Scheme,Hour,DA_Offer_MW
1,One-price,1,0.0
1,One-price,2,500.0
1,One-price,3,500.0
1,One-price,4,0.0
1,One-price,5,0.0
1,One-price,6,0.0
1,One-price,7,0.0
1,One-price,8,0.0
1,One-price,9,0.0
1,One-price,10,0.0
1,One-price,11,500.0
1,One-price,12,500.0
1,One-price,13,0.0
1,One-price,14,0.0
1,One-price,15,0.0
1,One-price,16,0.0
1,One-price,17,0.0
1,One-price,18,0.0
1,One-price,19,0.0
1,One-price,20,0.0
1,One-price,21,0.0
1,One-price,22,0.0
1,One-price,23,500.0
1,One-price,24,0.0
1,Two-price,1,71.24816153729844
1,Two-price,2,486.2407389589146
1,Two-price,3,268.5684732855906
1,Two-price,4,162.31735646245411
1,Two-price,5,142.02210278896507
1,Two-price,6,0.0
1,Two-price,7,34.673062913224555
1,Two-price,8,0.0
1,Two-price,9,48.88420777721268
1,Two-price,10,54.27244986323212
1,Two-price,11,129.22330964522823
1,Two-price,12,135.85208450742945
1,Two-price,13,64.018020370854
1,Two-price,14,61.79468323459471
1,Two-price,15,76.20513807370345
1,Two-price,16,87.10361369603166
1,Two-price,17,114.85752773157756
1,Two-price,18,77.01096892138939
1,Two-price,19,134.9380077249797
1,Two-price,20,142.69391486027683
1,Two-price,21,155.01161496061908
1,Two-price,22,223.170471883548
1,Two-price,23,302.32230484804336
1,Two-price,24,140.02556665887755
2,One-price,1,0.0
2,One-price,2,500.0
2,One-price,3,500.0
2,One-price,4,0.0
2,One-price,5,0.0
2,One-price,6,0.0
2,One-price,7,0.0
2,One-price,8,0.0
2,One-price,9,0.0
2,One-price,10,0.0
2,One-price,11,500.0
2,One-price,12,500.0
2,One-price,13,0.0
2,One-price,14,0.0
2,One-price,15,0.0
2,One-price,16,0.0
2,One-price,17,0.0
2,One-price,18,0.0
2,One-price,19,0.0
2,One-price,20,0.0
2,One-price,21,0.0
2,One-price,22,0.0
2,One-price,23,500.0
2,One-price,24,0.0
2,Two-price,1,84.28234663441052
2,Two-price,2,486.2407389589146
2,Two-price,3,268.5684732855906
2,Two-price,4,193.8753419196987
2,Two-price,5,142.02210278896507
2,Two-price,6,0.0
2,Two-price,7,43.27088287446221
2,Two-price,8,0.0
2,Two-price,9,49.78110266525546
2,Two-price,10,52.87040727962502
2,Two-price,11,216.55544253687233
2,Two-price,12,210.77029869005236
2,Two-price,13,64.018020370854
2,Two-price,14,60.38061332490274
2,Two-price,15,63.212189523168064
2,Two-price,16,79.30131544583578
2,Two-price,17,103.16696677708896
2,Two-price,18,63.61940042061277
2,Two-price,19,106.82499209632856
2,Two-price,20,96.76155654217813
2,Two-price,21,93.72895217935148
2,Two-price,22,176.00788992591166
2,Two-price,23,302.32230484804336
2,Two-price,24,140.02556665887755
3,One-price,1,0.0
3,One-price,2,500.0
3,One-price,3,500.0
3,One-price,4,0.0
3,One-price,5,0.0
3,One-price,6,0.0
3,One-price,7,0.0
3,One-price,8,0.0
3,One-price,9,0.0
3,One-price,10,0.0
3,One-price,11,500.0
3,One-price,12,500.0
3,One-price,13,0.0
3,One-price,14,0.0
3,One-price,15,500.0
3,One-price,16,500.0
3,One-price,17,0.0
3,One-price,18,0.0
3,One-price,19,0.0
3,One-price,20,0.0
3,One-price,21,0.0
3,One-price,22,0.0
3,One-price,23,500.0
3,One-price,24,0.0
3,Two-price,1,83.32875149482481
3,Two-price,2,486.2407389589146
3,Two-price,3,268.54441863342083
