Fold,scenario_id,group,w_idx,p_idx,k_idx
1,12,in_sample,0,2,2
1,28,in_sample,0,5,3
1,34,in_sample,0,6,4
1,35,in_sample,0,7,0
1,43,in_sample,0,8,3
1,62,in_sample,0,12,2
1,88,in_sample,0,17,3
1,102,in_sample,0,20,2
1,138,in_sample,1,2,3
1,153,in_sample,1,5,3
1,168,in_sample,1,8,3
1,180,in_sample,1,11,0
1,203,in_sample,1,15,3
1,231,in_sample,1,21,1
1,272,in_sample,2,4,2
1,286,in_sample,2,7,1
1,289,in_sample,2,7,4
1,299,in_sample,2,9,4
1,325,in_sample,2,15,0
1,333,in_sample,2,16,3
1,334,in_sample,2,16,4
1,355,in_sample,2,21,0
1,391,in_sample,3,3,1
1,421,in_sample,3,9,1
1,443,in_sample,3,13,3
1,461,in_sample,3,17,1
1,462,in_sample,3,17,2
1,476,in_sample,3,20,1
1,477,in_sample,3,20,2
1,483,in_sample,3,21,3
1,495,in_sample,3,24,0
1,504,in_sample,4,0,4
1,541,in_sample,4,8,1
1,544,in_sample,4,8,4
1,547,in_sample,4,9,2
1,614,in_sample,4,22,4
1,619,in_sample,4,23,4
1,621,in_sample,4,24,1
1,659,in_sample,5,6,4
1,661,in_sample,5,7,1
1,692,in_sample,5,13,2
1,693,in_sample,5,13,3
1,704,in_sample,5,15,4
1,732,in_sample,5,21,2
1,745,in_sample,5,24,0
1,752,in_sample,6,0,2
1,767,in_sample,6,3,2
1,833,in_sample,6,16,3
1,849,in_sample,6,19,4
1,859,in_sample,6,21,4
1,863,in_sample,6,22,3
1,873,in_sample,6,24,3
1,878,in_sample,7,0,3
1,879,in_sample,7,0,4
1,895,in_sample,7,4,0
1,933,in_sample,7,11,3
1,934,in_sample,7,11,4
1,956,in_sample,7,16,1
1,962,in_sample,7,17,2
1,975,in_sample,7,20,0
1,987,in_sample,7,22,2
1,993,in_sample,7,23,3
1,994,in_sample,7,23,4
1,1012,in_sample,8,2,2
1,1031,in_sample,8,6,1
1,1049,in_sample,8,9,4
1,1054,in_sample,8,10,4
1,1069,in_sample,8,13,4
1,1080,in_sample,8,16,0
1,1082,in_sample,8,16,2
1,1119,in_sample,8,23,4
1,1131,in_sample,9,1,1
1,1152,in_sample,9,5,2
1,1158,in_sample,9,6,3
1,1184,in_sample,9,11,4
1,1209,in_sample,9,16,4
1,1232,in_sample,9,21,2
1,1245,in_sample,9,24,0
1,1257,in_sample,10,1,2
1,1276,in_sample,10,5,1
1,1282,in_sample,10,6,2
1,1318,in_sample,10,13,3
1,1323,in_sample,10,14,3
1,1345,in_sample,10,19,0
1,1419,in_sample,11,8,4
1,1435,in_sample,11,12,0
1,1455,in_sample,11,16,0
1,1465,in_sample,11,18,0
1,1476,in_sample,11,20,1
1,1498,in_sample,11,24,3
1,1509,in_sample,12,1,4
1,1523,in_sample,12,4,3
1,1524,in_sample,12,4,4
1,1539,in_sample,12,7,4
1,1544,in_sample,12,8,4
1,1545,in_sample,12,9,0
1,1553,in_sample,12,10,3
1,1556,in_sample,12,11,1
1,1572,in_sample,12,14,2
1,1607,in_sample,12,21,2
1,1623,in_sample,12,24,3
1,1637,in_sample,13,2,2
1,1655,in_sample,13,6,0
1,1711,in_sample,13,17,1
1,1719,in_sample,13,18,4
1,1723,in_sample,13,19,3
1,1729,in_sample,13,20,4
1,1792,in_sample,14,8,2
1,1798,in_sample,14,9,3
1,1800,in_sample,14,10,0
1,1840,in_sample,14,18,0
1,1849,in_sample,14,19,4
1,1866,in_sample,14,23,1
1,1881,in_sample,15,1,1
1,1887,in_sample,15,2,2
1,1903,in_sample,15,5,3
1,1909,in_sample,15,6,4
1,1913,in_sample,15,7,3
1,1915,in_sample,15,8,0
1,1923,in_sample,15,9,3
1,1950,in_sample,15,15,0
1,1960,in_sample,15,17,0
1,1979,in_sample,15,20,4
1,2004,in_sample,16,0,4
1,2008,in_sample,16,1,3
1,2009,in_sample,16,1,4
1,2016,in_sample,16,3,1
1,2048,in_sample,16,9,3
1,2049,in_sample,16,9,4
1,2050,in_sample,16,10,0
1,2091,in_sample,16,18,1
1,2103,in_sample,16,20,3
1,2121,in_sample,16,24,1
1,2131,in_sample,17,1,1
1,2134,in_sample,17,1,4
1,2142,in_sample,17,3,2
1,2208,in_sample,17,16,3
1,2233,in_sample,17,21,3
1,2236,in_sample,17,22,1
1,2242,in_sample,17,23,2
1,2277,in_sample,18,5,2
1,2280,in_sample,18,6,0
1,2305,in_sample,18,11,0
1,2309,in_sample,18,11,4
1,2325,in_sample,18,15,0
1,2335,in_sample,18,17,0
1,2338,in_sample,18,17,3
