In_Sample_Size,Out_Of_Sample_Size,Repeat,Scheme,In_Sample_Expected_Profit_EUR,Out_Of_Sample_Expected_Profit_EUR,Generalization_Gap_EUR,Abs_Generalization_Gap_EUR,Solve_Time_Seconds
100,1500,1,One-price,390845.4834446648,397913.88500109984,-7068.401556435041,7068.401556435041,0.02891574997920543
100,1500,1,Two-price,340111.0394567429,349252.9452512178,-9141.905794474937,9141.905794474937,0.009782250039279461
100,1500,2,One-price,375689.068058696,397999.5831601643,-22310.515101468307,22310.515101468307,0.02721083303913474
100,1500,2,Two-price,325496.3134246702,350081.5097881816,-24585.19636351138,24585.19636351138,0.01006749999942258
100,1500,3,One-price,349567.5207692429,400617.0807294613,-51049.55996021838,51049.55996021838,0.032073874957859516
100,1500,3,Two-price,304572.111899613,351704.77148832974,-47132.65958871675,47132.65958871675,0.011120832990854979
100,1500,4,One-price,448870.86675527226,392784.47411372594,56086.39264154632,56086.39264154632,0.025580499961506575
100,1500,4,Two-price,394327.35600920947,345529.28466642863,48798.07134278084,48798.07134278084,0.009373374981805682
100,1500,5,One-price,452466.7243181589,392705.9627595335,59760.76155862538,59760.76155862538,0.026023541984613985
100,1500,5,Two-price,398379.6535391224,345141.510116182,53238.1434229404,53238.1434229404,0.009254542004782706
100,1500,6,One-price,456590.4712211593,392416.6407993337,64173.83042182564,64173.83042182564,0.02578558400273323
100,1500,6,Two-price,400179.10936727416,345086.92223044386,55092.1871368303,55092.1871368303,0.009363082994241267
100,1500,7,One-price,324663.2372029636,401218.3267672134,-76555.08956424979,76555.08956424979,0.0288258750224486
100,1500,7,Two-price,282082.9728543129,353212.9574369484,-71129.98458263546,71129.98458263546,0.011076541966758668
100,1500,8,One-price,415712.08218655846,395730.11191830685,19981.970268251607,19981.970268251607,0.06907570798648521
100,1500,8,Two-price,364552.9815271663,347736.270465545,16816.711061621318,16816.711061621318,0.01822349999565631
200,1400,1,One-price,391959.1488164909,398060.5572912985,-6101.4084748076275,6101.4084748076275,0.27271087502595037
200,1400,1,Two-price,343412.7665601027,349593.3156539917,-6180.549093889014,6180.549093889014,0.031287958030588925
200,1400,2,One-price,437801.8024207408,390950.1237049772,46851.678715763555,46851.678715763555,0.12931858299998567
200,1400,2,Two-price,387083.84885384055,343076.5925604393,44007.25629340124,44007.25629340124,0.02021037501981482
200,1400,3,One-price,412764.36905021063,394413.8124007673,18350.556649443344,18350.556649443344,0.10236324998550117
200,1400,3,Two-price,361796.5563902699,346848.74510722107,14947.811283048824,14947.811283048824,0.023148041975218803
200,1400,4,One-price,390576.71530626726,398250.0067034737,-7673.291397206427,7673.291397206427,0.07373299996834248
200,1400,4,Two-price,341801.72244483756,349759.5169139823,-7957.794469144719,7957.794469144719,0.020285915990825742
200,1400,5,One-price,378385.75180885696,400250.98884596047,-21865.237037103507,21865.237037103507,0.06743441702565178
200,1400,5,Two-price,331668.72939119814,351324.7808864972,-19656.051495299034,19656.051495299034,0.015869916998781264
200,1400,6,One-price,426684.8165904275,393091.7065200222,33593.110070405295,33593.110070405295,0.058121041976846755
200,1400,6,Two-price,374942.41887618124,345002.77229279355,29939.646583387686,29939.646583387686,0.014386292023118585
200,1400,7,One-price,420950.62491413567,394372.06597377796,26578.558940357703,26578.558940357703,0.05485883296933025
200,1400,7,Two-price,370847.4307860507,345468.12834776746,25379.302438283223,25379.302438283223,0.013024125015363097
200,1400,8,One-price,404218.4653095829,395490.3464529998,8728.118856583082,8728.118856583082,0.055021332984324545
200,1400,8,Two-price,353849.0449601577,348045.6248805269,5803.4200796308,5803.4200796308,0.013245458947494626
400,1200,1,One-price,386600.22258369497,401392.44026053196,-14792.217676836997,14792.217676836997,0.10676375002367422
400,1200,1,Two-price,338382.67059950397,352339.1768382144,-13956.506238710426,13956.506238710426,0.018841833982151
400,1200,2,One-price,418232.45860781043,390251.1553149934,27981.30329281703,27981.30329281703,0.10830675001488999
400,1200,2,Two-price,367301.2082187322,342565.43852903356,24735.769689698645,24735.769689698645,0.020214584015775472
400,1200,3,One-price,401795.4211044713,395907.93458693987,5887.486517531448,5887.486517531448,0.10869325004750863
400,1200,3,Two-price,351893.856339152,347810.8444297152,4083.0119094367838,4083.0119094367838,0.019468957965727895
400,1200,4,One-price,401880.261606949,395701.8876486139,6178.373958335083,6178.373958335083,0.11331145802978426
400,1200,4,Two-price,353352.1471576774,347207.34343582916,6144.803721848235,6144.803721848235,0.021139249962288886
400,1200,5,One-price,408027.63034282415,393660.3324449887,14367.297897835437,14367.297897835437,0.11336229200242087
400,1200,5,Two-price,357712.30488433293,345843.0836399167,11869.221244416258,11869.221244416258,0.019018915947526693
400,1200,6,One-price,382428.2883142545,402245.03093367873,-19816.742619424243,19816.742619424243,0.11305329197784886
400,1200,6,Two-price,334347.253208173,353514.136911181,-19166.883703008003,19166.883703008003,0.019764708005823195
400,1200,7,One-price,377384.96221998933,403018.5929859338,-25633.630765944486,25633.630765944486,0.11347966699395329
400,1200,7,Two-price,331089.7282776361,354732.0871161049,-23642.35883846879,23642.35883846879,0.019722707977052778
400,1200,8,One-price,404209.06182767916,395522.827179204,8686.23464847519,8686.23464847519,0.11420095799257979
400,1200,8,Two-price,354236.65315287816,347062.8800189297,7173.773133948445,7173.773133948445,0.02129170804983005
800,800,1,One-price,396374.8141381064,399013.957544539,-2639.1434064325877,2639.1434064325877,0.21549674996640533
800,800,1,Two-price,347535.0326013807,350207.6970330192,-2672.664431638492,2672.664431638492,0.03444120800122619
800,800,2,One-price,394715.54714003624,400499.94857385906,-5784.401433822815,5784.401433822815,0.21810066601028666
800,800,2,Two-price,346110.2928373086,351607.5981011654,-5497.305263856775,5497.305263856775,0.03371425002114847
800,800,3,One-price,404954.50301305146,389723.0867945939,15231.416218457569,15231.416218457569,0.21943550003925338
800,800,3,Two-price,354706.77661750786,343024.59807362256,11682.178543885297,11682.178543885297,0.033004375000018626
800,800,4,One-price,397719.7747615819,397402.3669210635,317.4078405183973,317.4078405183973,0.22554358397610486
800,800,4,Two-price,349086.3466230899,348655.3298222433,431.0168008466135,431.0168008466135,0.0330416249926202
800,800,5,One-price,403931.136305262,390573.1775336333,13357.958771628677,13357.958771628677,0.21677912498125806
800,800,5,Two-price,354135.8554418683,343614.4459046829,10521.409537185391,10521.409537185391,0.03408066596603021
800,800,6,One-price,394035.75301087176,401353.01867177355,-7317.265660901787,7317.265660901787,0.21708566596498713
800,800,6,Two-price,345110.3479495539,352579.2835992108,-7468.935649656865,7468.935649656865,0.03292879101354629
800,800,7,One-price,410927.513637956,383925.4528259393,27002.060812016716,27002.060812016716,0.2192422499647364
800,800,7,Two-price,360023.8115882649,337666.8845937205,22356.926994544396,22356.926994544396,0.03241899999557063
800,800,8,One-price,403015.6071610964,391933.258552799,11082.348608297412,11082.348608297412,0.21467545797349885
800,800,8,Two-price,353909.00995973055,343814.920444834,10094.089514896565,10094.089514896565,0.03202795796096325
1200,400,1,One-price,395073.013018924,405558.50430851866,-10485.491289594676,10485.491289594676,0.3155532919918187
1200,400,1,Two-price,346523.2036680418,355892.59977758094,-9369.396109539142,9369.396109539142,0.04470779199618846
1200,400,2,One-price,395052.11852504645,405621.1877901513,-10569.06926510483,10569.06926510483,0.3193267500028014
1200,400,2,Two-price,346684.2844635516,355437.6858557608,-8753.401392209227,8753.401392209227,0.04538166703423485
1200,400,3,One-price,398737.02498857304,394566.4683995717,4170.556589001324,4170.556589001324,0.31707866699434817
1200,400,3,Two-price,350172.6158633518,344959.6498051689,5212.966058182879,5212.966058182879,0.04517037497134879
1200,400,4,One-price,398806.3194536467,394358.58500435046,4447.734449296258,4447.734449296258,0.3205506670055911
1200,400,4,Two-price,349769.67651195615,346191.0270336226,3578.6494783335365,3578.6494783335365,0.04779270803555846
1200,400,5,One-price,394649.74741224555,406828.30112855404,-12178.553716308495,12178.553716308495,0.317633124999702
1200,400,5,Two-price,346129.67875974334,357114.85154485464,-10985.172785111296,10985.172785111296,0.044982666964642704
1200,400,6,One-price,403714.7979090194,379633.14963823237,24081.64827078703,24081.64827078703,0.33080487500410527
1200,400,6,Two-price,354249.16003335477,332738.4016451438,21510.75838821096,21510.75838821096,0.04868862498551607
1200,400,7,One-price,403165.5556124292,381280.8765280033,21884.67908442591,21884.67908442591,0.3356748340302147
1200,400,7,Two-price,354007.69400483166,333364.6337258701,20643.06027896155,20643.06027896155,0.05086329102050513
1200,400,8,One-price,395256.0408508267,405009.4208128108,-9753.379961984057,9753.379961984057,0.33251620904775336
1200,400,8,Two-price,346977.6012521822,354576.148263119,-7598.547010936774,7598.547010936774,0.04670745896873996
