Scheme,In_Sample_Size,Avg_Out_Of_Sample_Size,Avg_In_Sample_Expected_Profit_EUR,Avg_Out_Of_Sample_Expected_Profit_EUR,Avg_Generalization_Gap_EUR,Avg_Abs_Generalization_Gap_EUR,Std_Out_Of_Sample_Expected_Profit_EUR,Avg_Solve_Time_Seconds
One-price,100,1500.0,401800.6817445895,396423.2581561048,5377.4235884846785,44623.31513407756,3563.3064178907675,0.03293645836674841
One-price,200,1400.0,407917.71177708905,395609.9509866596,12307.760790429427,21217.745017708818,3060.0549811772403,0.10169516661699163
One-price,400,1200.0,397569.7883259591,397212.52516936057,357.26315659855754,15417.91092214999,4542.278108946231,0.11139642713533249
One-price,800,800.0,400709.3311459953,394303.0334272751,6406.297718720198,10341.500344009495,6188.704822548058,0.21829487485956633
One-price,1200,400.0,398056.82722133887,396607.06170127407,1449.7655200648078,12196.389078312823,11139.899198920664,0.32364230238454184
Two-price,100,1500.0,351212.6922597639,348468.27143040963,2744.4208293542906,40741.85741168892,3114.0135056817658,0.011032703121600207
Two-price,200,1400.0,358175.31478282984,347389.93458040245,10785.380202427375,19233.978967010567,2794.700142963685,0.018932260500150733
Two-price,400,1200.0,348539.4777297607,348884.37386486557,-344.8961351048565,13846.541059941948,4209.296616979982,0.019932833238271996
Two-price,800,800.0,351327.1842023381,346396.34469656233,4930.839505775766,8840.5658420638,5168.450679481351,0.03320723411889048
Two-price,1200,400.0,349314.23931962665,347534.3747063901,1779.8646132365611,10956.493937685671,10013.066708143377,0.046786822997091804
