hour_start,hour_end,wind_forecast_mw,price,wind_quarters,price_quarters
2026-03-25T00:00:00Z,2026-03-25T01:00:00Z,6212.875,1.812,4,4
2026-03-25T01:00:00Z,2026-03-25T02:00:00Z,5891.875,0.368,4,4
2026-03-25T02:00:00Z,2026-03-25T03:00:00Z,5558.75,0.0,4,4
2026-03-25T03:00:00Z,2026-03-25T04:00:00Z,5288.75,0.0,4,4
2026-03-25T04:00:00Z,2026-03-25T05:00:00Z,5179.45,0.212,4,4
2026-03-25T05:00:00Z,2026-03-25T06:00:00Z,5130.175,1.152,4,4
2026-03-25T06:00:00Z,2026-03-25T07:00:00Z,4996.1,4.192,4,4
2026-03-25T07:00:00Z,2026-03-25T08:00:00Z,4734.35,9.595,4,4
2026-03-25T08:00:00Z,2026-03-25T09:00:00Z,4514.65,9.482,4,4
2026-03-25T09:00:00Z,2026-03-25T10:00:00Z,4515.0,9.48,4,4
2026-03-25T10:00:00Z,2026-03-25T11:00:00Z,4536.4,7.375,4,4
2026-03-25T11:00:00Z,2026-03-25T12:00:00Z,4532.0,4.972,4,4
2026-03-25T12:00:00Z,2026-03-25T13:00:00Z,4602.2,5.0,4,4
2026-03-25T13:00:00Z,2026-03-25T14:00:00Z,4789.975,4.44,4,4
2026-03-25T14:00:00Z,2026-03-25T15:00:00Z,5140.925,3.865,4,4
2026-03-25T15:00:00Z,2026-03-25T16:00:00Z,5529.6,6.365,4,4
2026-03-25T16:00:00Z,2026-03-25T17:00:00Z,5838.45,29.202,4,4
2026-03-25T17:00:00Z,2026-03-25T18:00:00Z,6094.775,68.925,4,4
2026-03-25T18:00:00Z,2026-03-25T19:00:00Z,6295.625,101.318,4,4
2026-03-25T19:00:00Z,2026-03-25T20:00:00Z,6481.35,101.092,4,4
2026-03-25T20:00:00Z,2026-03-25T21:00:00Z,6650.25,31.958,4,4
2026-03-25T21:00:00Z,2026-03-25T22:00:00Z,6751.85,19.778,4,4
2026-03-25T22:00:00Z,2026-03-25T23:00:00Z,6900.55,26.65,4,4
2026-03-25T23:00:00Z,2026-03-26T00:00:00Z,6939.25,14.058,4,4
2026-03-26T00:00:00Z,2026-03-26T01:00:00Z,7006.3,19.33,4,4
2026-03-26T01:00:00Z,2026-03-26T02:00:00Z,7074.9,14.035,4,4
2026-03-26T02:00:00Z,2026-03-26T03:00:00Z,7164.25,18.988,4,4
2026-03-26T03:00:00Z,2026-03-26T04:00:00Z,7248.325,14.725,4,4
2026-03-26T04:00:00Z,2026-03-26T05:00:00Z,7275.1,14.062,4,4
2026-03-26T05:00:00Z,2026-03-26T06:00:00Z,7237.55,16.0,4,4
2026-03-26T06:00:00Z,2026-03-26T07:00:00Z,7189.25,63.625,4,4
2026-03-26T07:00:00Z,2026-03-26T08:00:00Z,7132.75,79.065,4,4
2026-03-26T08:00:00Z,2026-03-26T09:00:00Z,7142.075,83.4,4,4
2026-03-26T09:00:00Z,2026-03-26T10:00:00Z,7135.575,55.072,4,4
2026-03-26T10:00:00Z,2026-03-26T11:00:00Z,7130.875,34.88,4,4
2026-03-26T11:00:00Z,2026-03-26T12:00:00Z,7086.65,13.528,4,4
2026-03-26T12:00:00Z,2026-03-26T13:00:00Z,6937.125,4.84,4,4
2026-03-26T13:00:00Z,2026-03-26T14:00:00Z,6701.575,5.9,4,4
2026-03-26T14:00:00Z,2026-03-26T15:00:00Z,6258.6,7.902,4,4
2026-03-26T15:00:00Z,2026-03-26T16:00:00Z,5842.35,37.348,4,4
2026-03-26T16:00:00Z,2026-03-26T17:00:00Z,5676.5,74.855,4,4
2026-03-26T17:00:00Z,2026-03-26T18:00:00Z,5664.2,115.893,4,4
2026-03-26T18:00:00Z,2026-03-26T19:00:00Z,5778.575,151.57,4,4
2026-03-26T19:00:00Z,2026-03-26T20:00:00Z,5893.4,157.358,4,4
2026-03-26T20:00:00Z,2026-03-26T21:00:00Z,5870.475,144.58,4,4
2026-03-26T21:00:00Z,2026-03-26T22:00:00Z,5728.525,128.483,4,4
2026-03-26T22:00:00Z,2026-03-26T23:00:00Z,5566.55,124.345,4,4
2026-03-26T23:00:00Z,2026-03-27T00:00:00Z,5261.325,114.995,4,4
2026-03-27T00:00:00Z,2026-03-27T01:00:00Z,4869.1,119.362,4,4
2026-03-27T01:00:00Z,2026-03-27T02:00:00Z,4408.4,119.47,4,4
2026-03-27T02:00:00Z,2026-03-27T03:00:00Z,3991.1,117.315,4,4
2026-03-27T03:00:00Z,2026-03-27T04:00:00Z,3637.575,117.802,4,4
2026-03-27T04:00:00Z,2026-03-27T05:00:00Z,3259.05,120.218,4,4
2026-03-27T05:00:00Z,2026-03-27T06:00:00Z,2814.75,136.428,4,4
2026-03-27T06:00:00Z,2026-03-27T07:00:00Z,2242.2,172.57,4,4
2026-03-27T07:00:00Z,2026-03-27T08:00:00Z,1836.7,176.438,4,4
2026-03-27T08:00:00Z,2026-03-27T09:00:00Z,1719.275,147.56,4,4
2026-03-27T09:00:00Z,2026-03-27T10:00:00Z,1743.525,113.975,4,4
2026-03-27T10:00:00Z,2026-03-27T11:00:00Z,1850.125,87.248,4,4
2026-03-27T11:00:00Z,2026-03-27T12:00:00Z,1976.675,72.805,4,4
2026-03-27T12:00:00Z,2026-03-27T13:00:00Z,2016.8,63.315,4,4
2026-03-27T13:00:00Z,2026-03-27T14:00:00Z,2002.1,59.598,4,4
2026-03-27T14:00:00Z,2026-03-27T15:00:00Z,1907.05,74.062,4,4
2026-03-27T15:00:00Z,2026-03-27T16:00:00Z,1779.1,92.305,4,4
2026-03-27T16:00:00Z,2026-03-27T17:00:00Z,1834.925,102.868,4,4
2026-03-27T17:00:00Z,2026-03-27T18:00:00Z,2010.45,139.172,4,4
2026-03-27T18:00:00Z,2026-03-27T19:00:00Z,2048.7,158.942,4,4
2026-03-27T19:00:00Z,2026-03-27T20:00:00Z,2076.225,168.302,4,4
2026-03-27T20:00:00Z,2026-03-27T21:00:00Z,2163.5,142.778,4,4
2026-03-27T21:00:00Z,2026-03-27T22:00:00Z,2291.325,118.968,4,4
2026-03-27T22:00:00Z,2026-03-27T23:00:00Z,3469.575,115.975,4,4
2026-03-27T23:00:00Z,2026-03-28T00:00:00Z,3710.125,105.878,4,4
2026-03-28T00:00:00Z,2026-03-28T01:00:00Z,4073.525,64.055,4,4
2026-03-28T01:00:00Z,2026-03-28T02:00:00Z,4529.725,39.568,4,4
2026-03-28T02:00:00Z,2026-03-28T03:00:00Z,4957.325,29.83,4,4
2026-03-28T03:00:00Z,2026-03-28T04:00:00Z,5270.125,23.888,4,4
2026-03-28T04:00:00Z,2026-03-28T05:00:00Z,5356.125,23.818,4,4
2026-03-28T05:00:00Z,2026-03-28T06:00:00Z,5608.75,21.035,4,4
