Scheme,Beta,Alpha,In_Sample_Size,Out_Of_Sample_Size,In_Sample_Expected_Profit_EUR,In_Sample_CVaR_EUR,In_Sample_Profit_Std_EUR,Out_Of_Sample_Expected_Profit_EUR,Out_Of_Sample_CVaR_EUR,Out_Of_Sample_Profit_Std_EUR,Out_Of_Sample_Min_Profit_EUR,Out_Of_Sample_Max_Profit_EUR,Solve_Time_Seconds,Optimization_Success,Optimization_Message
One-price,0.0,0.9,200,1400,403593.17482851655,40892.584225324215,303515.0861465444,396851.701700295,27014.09333095937,308108.43461276975,3540.234756996466,1638366.6161313932,0.0544126249733381,True,risk-neutral solution
One-price,0.1,0.9,200,1400,403586.79704145895,40998.51213249352,303597.9784013489,396786.8104706509,26951.978843294775,308179.29962609464,3845.3631022322224,1641783.6648995047,0.012376250000670552,True,Optimization terminated successfully. (HiGHS Status 7: Optimal)
One-price,0.25,0.9,200,1400,403586.79704145895,40998.51213249352,303597.9784013489,396786.8104706509,26951.978843294775,308179.29962609464,3845.3631022322224,1641783.6648995047,0.006763042008969933,True,Optimization terminated successfully. (HiGHS Status 7: Optimal)
One-price,0.5,0.9,200,1400,403586.79704145895,40998.51213249352,303597.9784013489,396786.8104706509,26951.978843294775,308179.29962609464,3845.3631022322224,1641783.6648995047,0.007271166949067265,True,Optimization terminated successfully. (HiGHS Status 7: Optimal)
One-price,1.0,0.9,200,1400,403586.79704145895,40998.51213249352,303597.9784013489,396786.8104706509,26951.978843294775,308179.29962609464,3845.3631022322224,1641783.6648995047,0.0060179170104674995,True,Optimization terminated successfully. (HiGHS Status 7: Optimal)
One-price,2.0,0.9,200,1400,403586.79704145895,40998.51213249352,303597.9784013489,396786.8104706509,26951.978843294775,308179.29962609464,3845.3631022322224,1641783.6648995047,0.0058452499797567725,True,Optimization terminated successfully. (HiGHS Status 7: Optimal)
One-price,5.0,0.9,200,1400,403586.79704145895,40998.51213249352,303597.9784013489,396786.8104706509,26951.978843294775,308179.29962609464,3845.3631022322224,1641783.6648995047,0.005861792014911771,True,Optimization terminated successfully. (HiGHS Status 7: Optimal)
One-price,10.0,0.9,200,1400,403345.533962403,41036.138130427076,303275.9971968286,396609.4076227103,26973.1087071077,308229.50676200807,3418.700938693887,1639955.6219743895,0.007107542012818158,True,Optimization terminated successfully. (HiGHS Status 7: Optimal)
Two-price,0.0,0.9,200,1400,354781.724515761,32545.424864005305,273452.84740108,347937.969149195,23116.897109610174,277148.3246711058,2812.1474017539276,1484242.1705249753,0.014156542019918561,True,risk-neutral solution
Two-price,0.1,0.9,200,1400,354766.1778961375,32731.837665779498,273167.0238417789,347971.26567142026,23182.132317598232,276867.88946189184,2831.314447567731,1483309.9224837115,0.1741012089769356,True,Optimization terminated successfully. (HiGHS Status 7: Optimal)
Two-price,0.25,0.9,200,1400,354762.9749906723,32758.42973652878,273094.3098243198,347965.5675060029,23190.451604272563,276788.256795931,2866.198233494408,1482971.2812217707,0.16160908399615437,True,Optimization terminated successfully. (HiGHS Status 7: Optimal)
Two-price,0.5,0.9,200,1400,354709.36652411637,32903.97424987123,272931.6855562141,347981.57691485883,23234.19672500201,276627.40961993934,2889.127291034275,1482495.7235615216,0.205492667038925,True,Optimization terminated successfully. (HiGHS Status 7: Optimal)
Two-price,1.0,0.9,200,1400,354479.6410700943,33239.36535097884,272497.7433925928,347956.3164319219,23409.23610869364,276083.2303746936,3236.206296992481,1481598.7451957704,0.20748391601955518,True,Optimization terminated successfully. (HiGHS Status 7: Optimal)
Two-price,2.0,0.9,200,1400,353962.1683084515,33611.46342494432,271684.9144065979,347687.895093728,23607.11642850025,275171.3543804764,3382.6649818387377,1478610.7016365754,0.18467133294325322,True,Optimization terminated successfully. (HiGHS Status 7: Optimal)
Two-price,5.0,0.9,200,1400,352506.3419108925,34125.54541321597,270795.7193697535,346505.21092932264,23700.643754513927,274186.55564095365,3769.0028839809765,1475096.741917293,0.17152145894942805,True,Optimization terminated successfully. (HiGHS Status 7: Optimal)
Two-price,10.0,0.9,200,1400,351922.8441048504,34212.583576991216,270662.41483206983,345975.5629074048,23707.62836790657,274086.66783564043,4011.301699461176,1475941.672688176,0.1475264159962535,True,Optimization terminated successfully. (HiGHS Status 7: Optimal)
