Fold,Scheme,In_Expected_EUR,In_CVaR_EUR,Out_Expected_EUR,Out_CVaR_EUR,Out_Std_EUR,Mean_Offer_MW
1,One-price,403586.79704145895,40998.51213249352,396786.8104706509,26951.978843294775,308179.29962609464,113.16431780006364
1,Two-price,354469.10644445044,33243.327198135594,347957.987152519,23421.59693464449,275699.3982805727,119.01611890787296
2,One-price,388140.52826899843,23751.92178589899,398706.1781552261,29458.158240507128,308767.8600286905,145.83333333333334
2,Two-price,339725.9153371629,20565.021300433153,349806.0711303784,25556.509291176284,275801.48833390983,117.9571414825913
3,One-price,439768.5519316171,44749.44376021039,389886.6041725039,27156.540930868687,302222.98140032194,171.44648447690346
3,Two-price,385311.0068698733,36815.18653131486,343182.0061164899,23833.047107834922,270516.3240445835,111.32958367124392
4,One-price,385825.81101240055,22845.9061593741,399188.12324545434,30576.94798518172,307971.8499103105,125.0
4,Two-price,337266.38146020455,20226.065443559193,350378.37579741975,26016.67073381539,276603.3216272358,125.04009108694954
5,One-price,429782.2317374261,45613.770255141746,391169.8330862897,26578.02855443491,303858.76449006714,200.8311339906999
5,Two-price,375050.37458032236,38062.043173792306,344750.2841879214,23369.16870004638,272487.6951559806,117.82823696249876
6,One-price,344930.83858679386,27957.84630590559,404726.63096696965,28358.534295069214,310960.5096527737,166.66666666666666
6,Two-price,300327.9465739341,24402.845664909248,355516.2652381103,24846.267710673957,277166.78506000276,111.39730897169797
7,One-price,381962.6785852661,25905.369546815335,397713.493241651,28759.23833734488,309650.1446718352,210.96439488473686
7,Two-price,334397.70959386183,21863.461895335466,350267.64056024264,25308.99780547127,276125.29588122293,102.6564823915316
8,One-price,416032.8719142795,23895.52907263302,393492.4562773289,28577.865248645943,305863.31736992666,229.16666666666666
8,Two-price,364714.1011268282,21258.7532497664,346433.23343786574,24635.968352893393,276392.7988175472,143.5941579687807
